id;name;description;price;disponibility;products_id
1;Generic Steel Tuna;website calculating;57374;true;1
2;support Consultant;wireless Chilean Peso Unidades de fomento;9665;true;2
3;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;6255;false;3
4;Credit Card Account;networks infomediaries;57853;false;4
5;throughput;Union transmitting;27988;true;5
6;initiative green;Malagasy Ariary Gloves;54278;false;6
7;neutral;Rustic Concrete Car;78661;false;7
8;Oklahoma;aggregate throughput Practical;94963;true;8
9;distributed Dynamic auxiliary;Human New Mexico Implementation;12092;false;9
10;Shirt intangible;Prairie;45935;false;10
