id;name;address;tel;description;restaurants_id
1;initiative;SMTP;"+33667744132";calculate invoiceXXX;1
2;Compatible XML Salad;synthesizing Orchestrator;"0686080869";Dominican RepublicXX;2
3;Djibouti Producer productize;Tasty Granite Ball;"+33739326835";Computer depositXXXX;3
4;Assistant program white;integrated;"+33674840797";methodical leverage yellow;4
5;Avon Credit Card Account;Shoes;"0942060481";Frozen client-driven Bedfordshire;5
6;Producer Handcrafted;bottom-line system;"+33655458092";hapticXXXXXXXXXXXXXX;6
7;Riel;Baby;"+33734632298";bluetooth quantifying;7
8;Legacy Spur yellow;Markets Awesome Cotton Computer Cambridgeshire;"0148381421";panel productizeXXXX;8
9;Massachusetts;generating parallelism;"0804516773";KiribatiXXXXXXXXXXXX;9
10;Handcrafted Wooden Chips SCSI;quantifying Wisconsin;"0939949548";ToysXXXXXXXXXXXXXXXX;10
